sid,season,name,issued_time,forecast_time,latitude,longitude,msw_kmh,cat,tcws_1,tcws_2,tcws_3,tcws_4,tcws_5
24-TC01,2024,AGHON,2024-05-29 11:00:00,2024-05-29 20:00:00,26.3,132.8,120.0,TY,,,,,
24-TC01,2024,AGHON,2024-05-27 02:00:00,2024-05-29 23:00:00,26.5,133.9,140.0,TY,NCR; Bulacan; Cavite; Laguna; Rizal,Aurora; Quezon,,,
24-TC01,2024,AGHON,2024-05-29 17:00:00,2024-05-30 02:00:00,27.5,134.2,110.0,STS,,,,,
24-TC01,2024,AGHON,2024-05-27 08:00:00,2024-05-30 05:00:00,28.2,136.0,140.0,TY,Nueva Vizcaya; Quirino; Quezon,Isabela; Aurora,,,
24-TC01,2024,AGHON,2024-05-29 11:00:00,2024-05-30 08:00:00,28.2,134.7,100.0,STS,,,,,
24-TC01,2024,AGHON,2024-05-25 14:00:00,2024-05-30 11:00:00,32.5,142.0,95.0,STS,Oriental Mindoro; Marinduque; Laguna; Rizal,,,,
24-TC01,2024,AGHON,2024-05-29 17:00:00,2024-05-30 14:00:00,29.4,136.2,100.0,STS,,,,,
24-TC01,2024,AGHON,2024-05-26 20:00:00,2024-05-30 17:00:00,28.5,136.9,100.0,STS,Pampanga; Bataan,NCR; Batangas; Laguna,,,
24-TC01,2024,AGHON,2024-05-26 23:00:00,2024-05-30 20:00:00,29.6,138.2,100.0,STS,Pampanga,Camarines Norte; Quezon,,,
24-TC01,2024,AGHON,2024-05-27 02:00:00,2024-05-30 23:00:00,30.1,138.9,110.0,STS,NCR; Bulacan; Cavite; Laguna; Rizal,Aurora; Quezon,,,
24-TC02,2024,BUTCHOY,2024-07-19 23:00:00,2024-07-20 08:00:00,15.5,113.7,55.0,TD,,,,,
24-TC02,2024,BUTCHOY,2024-07-20 05:00:00,2024-07-20 14:00:00,15.4,112.9,55.0,TD,,,,,
24-TC02,2024,BUTCHOY,2024-07-20 11:00:00,2024-07-20 20:00:00,15.5,113.1,55.0,TD,,,,,
24-TC02,2024,BUTCHOY,2024-07-20 05:00:00,2024-07-21 02:00:00,15.7,111.5,65.0,TS,,,,,
24-TC02,2024,BUTCHOY,2024-07-20 11:00:00,2024-07-21 08:00:00,15.8,112.2,65.0,TS,,,,,
24-TC02,2024,BUTCHOY,2024-07-20 05:00:00,2024-07-21 14:00:00,16.3,110.8,65.0,TS,,,,,
24-TC02,2024,BUTCHOY,2024-07-20 11:00:00,2024-07-21 20:00:00,16.5,111.1,65.0,TS,,,,,
24-TC02,2024,BUTCHOY,2024-07-20 05:00:00,2024-07-22 02:00:00,17.6,109.9,65.0,TS,,,,,
24-TC02,2024,BUTCHOY,2024-07-20 11:00:00,2024-07-22 08:00:00,17.6,110.4,65.0,TS,,,,,
24-TC02,2024,BUTCHOY,2024-07-20 05:00:00,2024-07-22 14:00:00,18.5,109.3,55.0,TD,,,,,
24-TC02,2024,BUTCHOY,2024-07-20 11:00:00,2024-07-22 20:00:00,18.4,110.0,55.0,TD,,,,,
24-TC02,2024,BUTCHOY,2024-07-20 05:00:00,2024-07-23 02:00:00,19.5,109.1,,,,,,,
24-TC02,2024,BUTCHOY,2024-07-20 11:00:00,2024-07-23 08:00:00,19.3,109.7,,,,,,,
24-TC03,2024,CARINA,2024-07-19 23:00:00,2024-07-20 08:00:00,14.9,129.9,45.0,TD,,,,,
24-TC03,2024,CARINA,2024-07-20 05:00:00,2024-07-20 14:00:00,16.0,128.4,55.0,TD,,,,,
24-TC03,2024,CARINA,2024-07-20 11:00:00,2024-07-20 20:00:00,16.0,127.8,65.0,TS,,,,,
24-TC03,2024,CARINA,2024-07-20 17:00:00,2024-07-21 02:00:00,16.3,127.2,65.0,TS,,,,,
24-TC03,2024,CARINA,2024-07-20 23:00:00,2024-07-21 08:00:00,17.4,127.0,75.0,TS,,,,,
24-TC03,2024,CARINA,2024-07-21 05:00:00,2024-07-21 14:00:00,17.1,126.1,85.0,TS,,,,,
24-TC03,2024,CARINA,2024-07-21 11:00:00,2024-07-21 20:00:00,17.2,125.2,95.0,STS,,,,,
24-TC03,2024,CARINA,2024-07-21 17:00:00,2024-07-22 02:00:00,17.5,125.2,95.0,STS,,,,,
24-TC03,2024,CARINA,2024-07-21 23:00:00,2024-07-22 08:00:00,17.6,125.6,100.0,STS,Cagayan,,,,
24-TC03,2024,CARINA,2024-07-22 05:00:00,2024-07-22 14:00:00,17.9,125.6,110.0,STS,Isabela,,,,
24-TC03,2024,CARINA,2024-07-22 11:00:00,2024-07-22 20:00:00,18.3,125.2,120.0,TY,Camiguin; Isabela,,,,
24-TC03,2024,CARINA,2024-07-22 17:00:00,2024-07-23 02:00:00,18.7,125.5,130.0,TY,Camiguin; Isabela,,,,
24-TC03,2024,CARINA,2024-07-22 23:00:00,2024-07-23 08:00:00,19.6,125.0,150.0,TY,Apayao,,,,
24-TC03,2024,CARINA,2024-07-23 05:00:00,2024-07-23 14:00:00,20.4,125.0,150.0,TY,Apayao,,,,
24-TC03,2024,CARINA,2024-07-23 11:00:00,2024-07-23 20:00:00,21.7,124.6,150.0,TY,Ilocos Norte; Apayao; Aurora,Batanes,,,
24-TC03,2024,CARINA,2024-07-23 17:00:00,2024-07-24 02:00:00,22.7,124.0,155.0,TY,Ilocos Norte; Apayao,Batanes,,,
24-TC03,2024,CARINA,2024-07-23 23:00:00,2024-07-24 08:00:00,23.7,123.3,155.0,TY,Ilocos Norte,Batanes,,,
24-TC03,2024,CARINA,2024-07-24 05:00:00,2024-07-24 14:00:00,24.0,122.0,175.0,TY,Ilocos Norte,Batanes,,,
24-TC03,2024,CARINA,2024-07-24 11:00:00,2024-07-24 20:00:00,24.1,122.1,175.0,TY,Ilocos Norte,Batanes,,,
24-TC03,2024,CARINA,2024-07-24 17:00:00,2024-07-25 02:00:00,24.9,121.4,175.0,TY,Ilocos Norte,Batanes,,,
24-TC03,2024,CARINA,2024-07-24 23:00:00,2024-07-25 08:00:00,25.2,120.3,155.0,TY,Ilocos Norte,Batanes,,,
24-TC03,2024,CARINA,2024-07-25 11:00:00,2024-07-25 14:00:00,25.5,119.2,120.0,TY,Batanes,,,,
24-TC03,2024,CARINA,2024-07-24 23:00:00,2024-07-25 20:00:00,25.5,118.9,120.0,TY,Ilocos Norte,Batanes,,,
24-TC03,2024,CARINA,2024-07-25 17:00:00,2024-07-26 02:00:00,26.0,118.6,95.0,STS,Batanes,,,,
24-TC03,2024,CARINA,2024-07-25 23:00:00,2024-07-26 08:00:00,26.6,118.2,95.0,STS,,,,,
24-TC03,2024,CARINA,2024-07-25 17:00:00,2024-07-26 14:00:00,27.7,117.4,65.0,TS,Batanes,,,,
24-TC03,2024,CARINA,2024-07-25 23:00:00,2024-07-26 20:00:00,28.1,117.2,65.0,TS,,,,,
24-TC03,2024,CARINA,2024-07-23 05:00:00,2024-07-27 02:00:00,28.9,116.3,55.0,TD,Apayao,,,,
24-TC03,2024,CARINA,2024-07-23 11:00:00,2024-07-27 08:00:00,29.5,116.4,55.0,TD,Ilocos Norte; Apayao; Aurora,Batanes,,,
24-TC04,2024,DINDO,2024-08-18 23:00:00,2024-08-19 08:00:00,25.8,125.4,65.0,TD,,,,,
24-TC04,2024,DINDO,2024-08-19 05:00:00,2024-08-19 14:00:00,26.4,126.1,65.0,TS,,,,,
24-TC04,2024,DINDO,2024-08-19 11:00:00,2024-08-19 20:00:00,27.0,125.9,65.0,TS,,,,,
24-TC04,2024,DINDO,2024-08-19 05:00:00,2024-08-20 02:00:00,29.3,125.5,65.0,TS,,,,,
24-TC04,2024,DINDO,2024-08-19 11:00:00,2024-08-20 08:00:00,30.3,125.8,65.0,TS,,,,,
24-TC05,2024,ENTENG,2024-09-01 11:00:00,2024-09-01 20:00:00,13.8,124.5,55.0,TD,Leyte,,,,
24-TC05,2024,ENTENG,2024-09-01 17:00:00,2024-09-02 02:00:00,14.2,123.9,65.0,TS,Quezon; Leyte,,,,
24-TC05,2024,ENTENG,2024-09-01 20:00:00,2024-09-02 05:00:00,14.6,123.7,65.0,TS,Aurora; Quezon,,,,
24-TC05,2024,ENTENG,2024-09-01 23:00:00,2024-09-02 08:00:00,15.3,123.6,65.0,TS,Nueva Vizcaya; Quirino; Aurora,Isabela,,,
24-TC05,2024,ENTENG,2024-09-02 02:00:00,2024-09-02 11:00:00,15.8,123.0,75.0,TS,Northern Samar; Aurora; Quezon,Catanduanes; Cagayan; Isabela,,,
24-TC05,2024,ENTENG,2024-09-02 05:00:00,2024-09-02 14:00:00,16.3,122.6,85.0,TS,Bulacan; Laguna,Isabela; Rizal,,,
24-TC05,2024,ENTENG,2024-09-02 08:00:00,2024-09-02 17:00:00,16.5,122.6,85.0,TS,Bulacan,Isabela; Quirino,,,
24-TC05,2024,ENTENG,2024-09-02 11:00:00,2024-09-02 20:00:00,17.3,122.3,85.0,TS,NCR,Camarines Norte; Isabela; Quirino; Aurora,,,
24-TC05,2024,ENTENG,2024-09-02 14:00:00,2024-09-02 23:00:00,17.7,122.0,85.0,TS,,Camarines Norte; Aurora,,,
24-TC05,2024,ENTENG,2024-09-02 17:00:00,2024-09-03 02:00:00,18.5,121.6,45.0,TS,NCR,Cagayan; Isabela; Quirino; Aurora,,,
24-TC05,2024,ENTENG,2024-09-02 20:00:00,2024-09-03 05:00:00,18.8,121.0,85.0,TS,Mountain Province; Nueva Vizcaya; Nueva Ecija; Benguet; Aurora,Cagayan; Isabela; Quirino; Ifugao,,,
